time_days,delta_NO₃_alk,delta_NO₃_small_dt,delta_NH₄_alk,delta_NH₄_small_dt,delta_P_alk,delta_P_small_dt,delta_Z_alk,delta_Z_small_dt,delta_DOM_alk,delta_DOM_small_dt,delta_sPOM_alk,delta_sPOM_small_dt,delta_bPOM_alk,delta_bPOM_small_dt,delta_DIC_alk,delta_DIC_small_dt,delta_Alk_alk,delta_Alk_small_dt
44.0,-0.017200589179992676,0.0,2.9006741897319444e-5,-3.637978807091713e-12,0.02734297513961792,0.0,-0.00020181061699986458,0.0,0.04758402332663536,0.0,0.047512222081422806,0.0,0.04753267019987106,0.0,-0.10107421875,0.0,100.04150390625,0.0
45.0,-0.019289851188659668,0.0,2.9093900593579747e-5,0.0,0.029593944549560547,0.0,-0.0002353680320084095,0.0,0.05168980732560158,0.0,0.05245500057935715,0.0,0.05247984081506729,0.0,-0.114013671875,0.0,100.04541015625,0.0
46.0,-0.021557211875915527,0.0,2.9244642064440995e-5,0.0,0.03196895122528076,0.0,-0.00027795229107141495,0.0,0.05623098835349083,0.0,0.05797126889228821,0.0,0.05800173804163933,0.0,-0.127685546875,0.0,100.050048828125,0.0
47.0,-0.024002909660339355,0.0,2.946348104160279e-5,0.0,0.03446406126022339,0.0,-0.0003324458375573158,0.0,0.061256587505340576,0.0,0.06411787867546082,0.0,0.06415561586618423,0.0,-0.142578125,0.0,100.054931640625,0.0
48.0,-0.026623010635375977,0.0,2.9755261493846774e-5,0.0,0.037072956562042236,0.0,-0.00040273740887641907,0.0,0.06681977957487106,0.0,0.07095277309417725,0.0,0.07099996507167816,0.0,-0.158447265625,0.0,100.060546875,0.0
49.0,-0.029407978057861328,0.0,3.0125251214485615e-5,0.0,0.039787113666534424,0.0,-0.0004940940998494625,0.0,0.07297775149345398,0.0,0.0785333663225174,0.0,0.07859299331903458,0.0,-0.1748046875,0.0,100.067138671875,0.0
50.0,-0.03234076499938965,0.0,3.057924550375901e-5,0.0,0.04259580373764038,0.0,-0.0006136628799140453,0.0,0.07979138940572739,0.0,0.08691436797380447,0.0,0.08699044585227966,0.0,-0.192138671875,0.0,100.073974609375,0.0
51.0,-0.03539586067199707,0.0,3.11237272399012e-5,0.0,0.0454864501953125,0.0,-0.0007711504586040974,0.0,0.08732475340366364,0.0,0.09614492952823639,0.0,0.0962429791688919,0.0,-0.209716796875,0.0,100.081787109375,0.0
52.0,-0.03853726387023926,0.0,3.1766019674250856e-5,0.0,0.04844546318054199,0.0,-0.0009797364473342896,0.0,0.09564422816038132,0.0,0.1062650978565216,0.0,0.10639268159866333,0.0,-0.227783203125,0.0,100.090576171875,0.0
53.0,-0.04171717166900635,0.0,3.25145465467358e-5,0.0,0.05146026611328125,0.0,-0.0012572705745697021,0.0,0.10481739044189453,0.0,0.11730147153139114,0.0,0.11746900528669357,0.0,-0.245361328125,0.0,100.1005859375,0.0
54.0,-0.04487353563308716,0.0,3.337909220135771e-5,0.0,0.054521143436431885,0.0,-0.0016278168186545372,0.0,0.11491145938634872,0.0,0.12926208972930908,0.0,0.12948401272296906,0.0,-0.262451171875,0.0,100.111328125,0.0
